,long_team,team_num,teamname
12899,oe:team:35a8556d92988fd1af626af63146983,354,Sinisters
12906,oe:team:35d01dfcb4df96b0fe4ccb8db0ce83b,355,Unlimited Potential
12915,oe:team:35d8c122cd2fd58cdb1208f823023af,356,War Legion Esports
12920,oe:team:362c31d38bf8e4a3fd5a37cfa8c449b,357,Area of Effect Ginger Turmeric
12954,oe:team:364547a649dd1c75e258f0d5168509f,358,Team oNe eSports
13041,oe:team:364b7057b299d4fe2fcfeda934696bb,359,No Name
13042,oe:team:3654f597ce52309e2b7d34f9a8c5fe1,360,Talon Esports
13065,oe:team:3659b5cb3434354530c31ce71461fc1,361,GTZ Esports
13101,oe:team:37612c1a4e90b5ed7e0900448c1c198,362,Herbalife Real Betis
13104,oe:team:37a187007662c2f3506e4a3586cc6bc,363,Dawn Esports
13122,oe:team:37efc37d42b487ce23fb8d61f0d5f2b,364,NRG Esports
13154,oe:team:38b4af2eefb42dc083c053dfa028d00,365,No Name
13155,oe:team:38eebf1d7f1cbc9ee434d8bea9b33cc,366,Hurricane of Feathers
13161,oe:team:391e50581a00cea9f06b2d845b4de05,367,RED Academy
13225,oe:team:3921fffdab4f130255658ea322e1ab6,368,x25 Esports
13253,oe:team:39acb3086fdf58728ce570582970c9e,369,Team ROCK
13254,oe:team:39d5dcd1979d4062609cf7c1fc9ff55,370,Aethra Esports
13266,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,371,Hanwha Life Esports
13554,oe:team:3a1d5821b38ab1ddec52f944973d1bd,372,Gentlemen's Gaming
13610,oe:team:3a46f01a42670667f7a1c63b9fd5cc2,373,Cold Hearted
13612,oe:team:3a82a0efc78faf326cdc53735dbaebb,374,Córdoba Patrimonio eSports
13618,oe:team:3aad93555aced110c32e285e289128f,375,Goose Gaming
13621,oe:team:3acdd562c78716845be6449bfa89dd9,376,Nova eSports
13627,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,377,AXIZ Academy
13648,oe:team:3b41580aaafc8fae0130f6868cb8a84,378,UTS Esports
13659,oe:team:3b43717f41be607aa14afe1bd1c6ec4,379,"University of California, San Diego"
13662,oe:team:3b84bb916852d07609c83d1ce91c1a9,380,Samsung Galaxy
13834,oe:team:3bbdbd086c3b497980f0a8d932d1717,381,Raise Gaming
13862,oe:team:3bc449343ffa0783714235cf9b55ddf,382,Axolotl Academy
13864,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,383,paiN Gaming Academy
13938,oe:team:3cfb5ebe63afedf7c686dd9bb4c277c,384,Ilha da Macacada Gaming
13964,oe:team:3d3456d514814ba68c9532044bc50e2,385,Six Karma
14043,oe:team:3d4a6fe0ca7bda9057ee1172eb5761c,386,Ultra Prime Academy
14140,oe:team:3d95efcb0a40984886b3598f77eb167,387,Godlike Goats
14141,oe:team:3dcde0a1aaf93724e1ba79cad2b698e,388,Striking Vipers Maestros
14148,oe:team:3de6f8727f5d53282e39da4f859931d,389,SUPA HOT CREW
14172,oe:team:3de935df8f40fbb4d0e564d4a20e6cb,390,Berlin International Gaming
14330,oe:team:3e18c32708da93cf6bdbd1d20b76731,391,Gambit Gaming
14374,oe:team:3e4d288f8db8d89105f516d3e2665a2,392,Team Liquid First
14390,oe:team:3e7c25b77e695737a359094427e9752,393,D7G Esports Club
14411,oe:team:3e8e10cb2ed3bdaa31a961c0094c0a6,394,7more7 Pompa Team Academy
14412,oe:team:3eb6b5da983552dd32f84d7f0e99717,395,19esports
14427,oe:team:3f0da22a1e50a49e14e7e54bd90206f,396,Team Dynamics
14491,oe:team:3f15fada7994f98f3bc6207bed01c16,397,NXT
14496,oe:team:3f5f26df72c4e0c05bf272b1c6cbd0b,398,Lotus Esports
14499,oe:team:3f907847a2567328254a7c414ed90d8,399,Rising SuperStar Gaming
14521,oe:team:3faefd9245a4ef6ba347fbcf2a51515,400,eSuba
14669,oe:team:3fbe14cabc2c91b41d58e14930276fd,401,MiaoJing (妙竞)
14708,oe:team:40084525160457267265923de195e09,402,FURIA
14766,oe:team:4031f92c96fefcf01482e7d143688e6,403,MeetYourMakers.TR
14771,oe:team:4054ca135a8ad4383af9b6bed4fabcf,404,Reven Esports
14777,oe:team:40588fea8e54db0dd6c86ed78262a13,405,KSV eSports
14802,oe:team:407a64574852482edb8c1560eab637c,406,Team Whales
14871,oe:team:40840add0aae003de71e03968562bc3,407,Dplus KIA  Academy
14906,oe:team:40ca71047541a6edbbb6e29893f9058,408,Kanga Esports
14949,oe:team:40d8ba3a56bb69899bc84d078a11c1a,409,Twisted Minds
14957,oe:team:4103ef051074f24e9566d1b7443c3fb,410,Erfolg Esports
14960,oe:team:4160bf895acdf688dc5312c2280fbc4,411,The Kings
15026,oe:team:4161958403ac6cd3d1c4c132cda8c79,412,CB Gaming
15043,oe:team:416a2fec935fb99b6697e3f8cd6d372,413,E-corp Gaming
15045,oe:team:418bd4b8f699d70c4509d7f9c768a3a,414,Gambit Esports
15157,oe:team:418c28593a78b57ef74e47d0c18640a,415,Fenerbahçe Esports
15340,oe:team:419bc1080bea0fa43f9923125b79103,416,Team Anomaly Breaker
15342,oe:team:41b7b299a5a6edd09082b7a7253ac6e,417,Team DeftFox
15344,oe:team:426e3c3c1048f348d88cac6d146d370,418,FLY FAM
15362,oe:team:4278e8a32eefe381f75ac6d09218de3,419,Anyone's Legend.Young
15458,oe:team:42cf90f05653e10d6691a5f2e7d6410,420,ANT Gaming
15460,oe:team:42efab15102679bcf44aa18df95363e,421,Chiefs Academy
15483,oe:team:43155cbab766d2364949a70d7cc1e05,422,Esports Performance Center
15487,oe:team:437a2fa4639d8cb1677176861d69260,423,SuperMassive Academy
15535,oe:team:4389119a53bbe91e642f1e60f28f4c3,424,VSG
15577,oe:team:439e4e85c9c426a80587a334dc9c2e9,425,TM Gaming
15591,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,426,No Name
15592,oe:team:43c075d12246347af6745bce7e5a665,427,nerdRage
15594,oe:team:43ced4959bb9855f62e450057a03496,428,Skull Cracker
15623,oe:team:43f0e738f499e03374ad0b758c936ce,429,Wind and Rain
15632,oe:team:4410ecf1b88f1316b6e6c110120c896,430,Gamespace Mediterranean College Esports
15742,oe:team:4493f5b2d1af75dcdcc93bbbdb8778c,431,PENTAGRAM
15766,oe:team:44990d61d2b6817c830634b1f652af2,432,Azules Esports
15807,oe:team:45157b3486f4c506e2503afebc2c735,433,ELR Gaming
15816,oe:team:451c3e722d7502dddcb89644aaa9fa8,434,Logitech G Snipers
15836,oe:team:4521d75a62eec4d83cf9dfeba436f41,435,UCAM Tokiers
15946,oe:team:455551fe1d375c5bdf7385bf56a9722,436,GamerLegion
16092,oe:team:45aa17d9e673616344575f3295302d4,437,Aguilas Doradas
16104,oe:team:45cca9378d2622cb26d07d2cf549bf6,438,Ping is the Problem
16111,oe:team:462603c08f676fac8ba56c3dd77086f,439,Verity Esports
16113,oe:team:464ed025802ab9dbf7f78130613e252,440,Cream Esports
16136,oe:team:466e22ca9bc6b20cbf4edfc9a674ba2,441,XtremeDominators
16144,oe:team:46aed4f90885fb0531287eda12df2a0,442,Natus Vincere CIS
16183,oe:team:46c474825b4767ff6113d344264f60f,443,Kongdoo Monster
16318,oe:team:46ec34791c2aa89c45af2b10d33f6bd,444,Miracle
16323,oe:team:4717e24738f334e3105a914a0388bc3,445,I Gaming Star
16369,oe:team:47442e965eb1111493261ea973ae5b3,446,Trident Esports
16388,oe:team:477741307b39a84804e727af56a48ce,447,DarlingYou
16389,oe:team:47980e0bc08d56ec5a4274f07016ab5,448,HWA Gaming
16505,oe:team:479a62d88953b27ea1ead81075aa9d4,449,Area of Effect Brady
16509,oe:team:479dc9903b6f233af09b0227170a0cc,450,Zylant Esports
16553,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,451,MAD Lions
16693,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,452,Fnatic Academy
16709,oe:team:47b5eae9d91563c34d6d6963bbabb19,453,Valorous
16734,oe:team:47b7394e386b2ab9bb97100fe136098,454,Dignitas Mirage
16756,oe:team:47bf9c96596e56abf93d96d5373938f,455,Nerv
16763,oe:team:480931efd3f8621f37531ba5eea70c7,456,Movistar Riders
16941,oe:team:48199c3e87ac9d14cdf50169f8eaabc,457,Eintracht Frankfurt
16967,oe:team:486eb7673f4c5e1f05bb9b1f2ccc59f,458,Auxesis Esports
16990,oe:team:4874e6de4ceddd06bc053532608b580,459,Crimson Gaming
16997,oe:team:487ccffd3886547ad9f9a85faf58f8f,460,Peak Performance X
17002,oe:team:4880b157399745e82e26e229d8bbf48,461,PSG Talon
17164,oe:team:4889684df277c6008eb89f48f94bded,462,Gravitas
17237,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,463,Ninjas in Pyjamas
17273,oe:team:48eeb326e7084ba937fbc1e0d9396c7,464,Piast Gliwice Esports
17283,oe:team:492de98f62f1f41a5255dd0a15ce444,465,OZ Gaming
17322,oe:team:493ebd2097eb7f5cd5d2cbec7f53a06,466,Savage
17354,oe:team:495e76f4e2f5385e54e5b306d770484,467,compLexity.White
17357,oe:team:4963fe5123abb5769749897c45fdce0,468,Team Ascent
17358,oe:team:49ab43c1250170a36a0d3dc3fbbf2e2,469,Romulea eSport
17367,oe:team:49f7d0d26c02418d44ffcf34a087068,470,Australs
17378,oe:team:49ff3cea05a67e6d79112a5470f7f6d,471,Curse Academy
17397,oe:team:4a76af3ced11eaed0ca7c6e4a20b826,472,Game Changers
17405,oe:team:4a81ab52f81b6819837a7f0439f684a,473,Team Just
17447,oe:team:4a8c0af26c3e3abad2cf15711001855,474,Mammoth Academy
17468,oe:team:4aaf7ff9e32dc4fee354958c19ba481,475,Waia Snikt
17519,oe:team:4af7101de8aaa0ada19a5937eb60b65,476,No Need Orga
17528,oe:team:4b1c69a839b1bb5d3cc392456ad9ae7,477,Grypciocraft Esports
17561,oe:team:4b2481a930580adc0bb83b582586934,478,Scorpio Game
17594,oe:team:4b85e66c4e276c54cb7f4428f030279,479,No Org
17635,oe:team:4ba35a7ee6378eb1f82d8e706bd6f2c,480,No Name
17636,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,481,100 Thieves
17833,oe:team:4bf1cdb1d7d084e66dbc3e32ba54236,482,PRIDE
17865,oe:team:4c4cf1a1c1cb435bb27ce8d200d8fd3,483,Hive Athens EC
17906,oe:team:4c4f442efee238e1448bc3ad5548a49,484,Hellions e-Sports Club
17929,oe:team:4c5b391ea4c929e4ca8d441c7870245,485,Maturalni Forsaken
17944,oe:team:4c7da100508f5172550ccf6c8c9f950,486,No Name
17945,oe:team:4c87a422072b2c1e754299a17ea36ce,487,Grand View University
17997,oe:team:4c9dd0212552afe76315b616b7891f5,488,Gen.G Global Academy
18050,oe:team:4cc7dd932bf287501df7bc4e30de138,489,JingNetGame
18082,oe:team:4cc87116c34de4956f4bd1cbaeff7f9,490,No Name
18083,oe:team:4ccccd4b7c3dba7d799d52c4b78634d,491,Bulldog Esports
18110,oe:team:4d2d64aa97a6a4aaa1a538b90b2b8aa,492,Gravity
18134,oe:team:4dad6945980f064ce21fc328531ac41,493,Overdrive
18139,oe:team:4df22658777288d24b28eb589f62495,494,GG Call Nash
18140,oe:team:4df410b2df000c4b430debfe467a76f,495,CNB e-Sports Club
18231,oe:team:4df6cdd02990bde40c808cf09796dd7,496,GnG Esports
18245,oe:team:4dfc9a0f1a6e1f2fcd8169ad3cdc5da,497,Bilibili Gaming Junior
18439,oe:team:4e03a96aba9572295ad53c4bfa7d453,498,HANAGUMI KAREN
18442,oe:team:4e28e7839cbb263369dfcb1794a25e2,499,Cloud9 Academy
18633,oe:team:4e32226d1afb63dde4a39d02cb1cd0f,500,ENEMI3S
18647,oe:team:4e5fe936e690fb945932add515ea1ea,501,Killabeez
18653,oe:team:4e653f6d72f24b97fb8f67d25a03c90,502,The Plan
18660,oe:team:4e8c9129c779623a9d7c00425e873f9,503,Red Rooster Team
18676,oe:team:4eb0013695b2543e1f1a5efe013d978,504,Phoenix1
18754,oe:team:4f19751f9f051533995772897da2d77,505,Beşiktaş Esports
18919,oe:team:4f4727b2da651c6017ec5993bb5368a,506,Intel New Indians
18950,oe:team:4f5a0b869cd5960c307d1c45e9399a3,507,Legacy Esports
19113,oe:team:4f945c33c50d670037fb6dad4005b17,508,Enclave
19158,oe:team:4f9786e33291cc490057a93110cbee5,509,Flamengo Los Grandes Academy
19169,oe:team:4fab8c58565912bb0d057def5e2e68a,510,Area of Effect eSports
19170,oe:team:4fc2ce83c0e48f8c07cf04a0fe13b33,511,AZIO eSports
19176,oe:team:4fc9baf210346939946d5a49f255588,512,Arsenal
19179,oe:team:4fe384f3e93db8f9a984f06a3c75e6c,513,Crystal Cave Gaming Emerald
19194,oe:team:5002118fe86845f19af60b4bd653f4c,514,Austrian Force eSports
19200,oe:team:503b43b019e9748cc07a115d524f697,515,ALTERNATE aTTaX
19203,oe:team:50b16c31d4c8f3ffe958a2105dc9f19,516,A One Man Army
19205,oe:team:50c26816bdd3bb2a02def8e11a5cd5a,517,ZETA
19209,oe:team:50e9f47da0df883740bc17ceff32c4e,518,Cyber Gaming Academy
19217,oe:team:50f58982d91a36557ec8aec52ab014f,519,Gen.G
19525,oe:team:5107627a345e1239ad184df8cfa0695,520,vVv Gaming
19526,oe:team:51176816845d58dd15984964ae60734,521,Bursaspor Esports
19561,oe:team:5126f460925c87fa40d1b37ef0c364d,522,Legatum
19581,oe:team:5142c879abcb70bac792134b00d86c7,523,PCS Taran
19608,oe:team:514d848d968399a239cdcc3d1412f2d,524,EURONICS Gaming
19675,oe:team:5169c1789fd93fb88b4e0dfebf36dba,525,Authority E-sports
19683,oe:team:51784a0e9c9e3da09f28d87e0562feb,526,ESports Connected
19684,oe:team:51815048971b363597530c6d350a27f,527,P11 Esports
19687,oe:team:518298125ac66f7525bb09ec1b5eb9a,528,V5 87
19865,oe:team:51ad8552b28c8fa33276c08f9b8ca9b,529,Northern Lions Esports
19889,oe:team:51d0aa927d8d8ce1af41a5582770356,530,FlyQuest Challengers
19929,oe:team:51e312fb2c4611c0466764797df079f,531,Oxygen Valiants
19954,oe:team:51eb4ab719043c7abdfca6fdddd1c5c,532,Team Ambition
20000,oe:team:520240664f961bf37844d78b76f64ba,533,Zero Six PowerSpike
20011,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,534,Papara SuperMassive
20039,oe:team:520d78e8ddef53291798ab89ed297de,535,Diablo Chairs
20046,oe:team:52235db6d4db68f5ab5f3ba3c341f56,536,VIS eSports
20052,oe:team:522de665f5644b585cf042680a85b81,537,Genbu Gaming
20061,oe:team:5282afc4205757c0e2a5d607c948d5c,538,Team 7AM Academy
20067,oe:team:52d1c320e9e7302ae0565dc110cd1c1,539,Gen.G Academy
20112,oe:team:52fd51dc4607d54f4e6e7b00a69b3ca,540,ad hoc gaming
20150,oe:team:532875bcf5a8fb1cd2f05cd0001bbf6,541,INTZ Academy
20212,oe:team:536636ce0064fb7b5d3b9e91a0d7ca6,542,Operation Kino e-Sports
20277,oe:team:53721bfbce4ef9543a06114520f6cf9,543,Infinity Esports
20279,oe:team:5380cdbc2ad2b8082624f48f99f6672,544,Liiv SANDBOX Challengers
20346,oe:team:53a258f289c26d94431c0496a54e151,545,Invictus Gaming
20640,oe:team:53a68cab878347b3d5bc556c8643b50,546,Dango
20641,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,547,Leviatan
20649,oe:team:541d18c9fef51d35e84731aeff4fc70,548,Meta Gaming
20699,oe:team:542063f7067a523ca263df1cb72f843,549,MNM Gaming
20807,oe:team:5436999a3de96fa22facd4bcd0c709b,550,KlikTech
20812,oe:team:5485dcb916189fac2d4ef41fdd90a1e,551,Tainted Minds Blue
20814,oe:team:54bd9d229a7e95564619f0f44117263,552,No Name
20815,oe:team:54c89031152e6070047e4685ffe2984,553,No Name
20816,oe:team:54d858264b5700c29cbe2fca7fc7649,554,London Esports
20859,oe:team:551f75a0b41dd5e9c9d068562434a86,555,Team Moops
20871,oe:team:55669acf4bbe596500b25b07e9a841c,556,ahq Fighter
20875,oe:team:557e2d6abd8a8896014e4351756c305,557,Weibo Gaming Youth Team
20955,oe:team:558b79ef1b362e8584a27b6e95bc0fc,558,CLG Challengers
20980,oe:team:55a4d5740b155eddef49ce090a4506f,559,Nordavind White
20987,oe:team:55b3d6b2c940afa4e24978c55dfea27,560,DRX Challengers
21103,oe:team:55e772f74d76682c821da22459e0ac2,561,Gentside
21110,oe:team:5627e3ef0b2477289b218ddeb6a151a,562,Vici Gaming
21263,oe:team:5628f250931675f9c0d20aad46cc117,563,Komil & Friends
21329,oe:team:5640443378d4820c8b19ffb39afd60a,564,University of North America
21332,oe:team:570bfe8899b9aff8ccbdd18334ec8ab,565,Munster Rugby Gaming
21349,oe:team:5737b101780a9835142549164be1ac4,566,Isurus
21580,oe:team:5753d046a1c9282ce2597e81227eba0,567,Prodigy Esports
21604,oe:team:575f4ac938f0343c3e0f26bbacfe063,568,ATLAS eSports Team
21627,oe:team:5769a39e27db9aa771714d1d6f71899,569,ANEW Academy
21633,oe:team:5774d59075b9be61779abedd5c227c7,570,University of Texas at Dallas
21659,oe:team:57ab4379bc2ebd5a0f7f53e791060cd,571,The Kings Moon
21666,oe:team:57ca6ef2561289fd5bd5ac2ebe689e1,572,Comanche
21673,oe:team:57d5631e7201b8107fa494d8734c222,573,Coliseo Dragons
21707,oe:team:581e5fa873dd0139907fe323959e32a,574,Cougar E-Sport
21723,oe:team:581f3c479de594d709d0d84a1c20bef,575,Young Boss
21724,oe:team:586486168f510b191d23bd992a82501,576,Magna Esports
21730,oe:team:587ebdbf24034c9cf825a6e731ad058,577,Legend Esport Gaming
21807,oe:team:588c0f09975443cbfbbe71a9ac1d75c,578,Bis Esports
21849,oe:team:590084186c6389b83116f1f83567149,579,No Name
21850,oe:team:590c61a318de97dde90d97fed3d81da,580,100 Thieves Challengers
21878,oe:team:591045589c51305cadf216042381acc,581,No Name
21879,oe:team:593d4fdeb992980e2e3860717e33e66,582,Team Ambition Red
21885,oe:team:594b183f8fb081ef64820f31ab8d641,583,Misfits Gaming
22064,oe:team:5984d6ffbed283b363cf996cacff642,584,T Show
22086,oe:team:59de6eea8bbeeec7cd0602d12bd17ec,585,No Name
22087,oe:team:59ec31a2da0d4d53a4ad01d2b0b31fa,586,Sector 7
22091,oe:team:5a200b1a94fcaa054dd7c5764adbcaf,587,Ninjas in Pyjamas
22137,oe:team:5a474b2ad31be89700a3bad1f52f3a4,588,EAS Team ESCA Gaming
22139,oe:team:5a5f8cc0161f43afe3461b293535517,589,AGO ROGUE
22268,oe:team:5a65820ae9d6b52452d469d0b4ffc29,590,Arena Quesito
22301,oe:team:5a8bba35fc7744a5bf40635276340bc,591,Nuovo Gaming
22307,oe:team:5aa4e9a1fbe6708fd21f323148779d4,592,Team 8
22337,oe:team:5aef7c486046c4885a0baad37b027e8,593,KOI
22391,oe:team:5b16960d02d2b789856319bd8a06d72,594,Estonian Vipers
22398,oe:team:5b3bde865666acea6504cdeae90120f,595,MAD Lions E.C. Mexico
22417,oe:team:5b591ee5220144c1d1a14141921c6a5,596,Zeus Kralik
22431,oe:team:5b76240cc27a58c6f7ceef7d8c36660,597,NARCIS
22447,oe:team:5b90b1fda6971ccdccf9eb32286aa50,598,H2k-Gaming
22617,oe:team:5ba8f69f3398de4c9b200e1f1456669,599,Intuition
22625,oe:team:5babf9f14b8cc18a551ee1fd2d5c6f9,600,LDM Esports
22660,oe:team:5baea1d85fe74c9b5324e0ac7b55f23,601,XT Esports
22667,oe:team:5bdae2e4b1f59b7a0d419c388f56036,602,No Name
22668,oe:team:5bef6688c36d00642436d00a83d9c14,603,Avant Gaming
22808,oe:team:5c116dedda7feae2f6ffc093f844ac6,604,Rebirth eSports
22979,oe:team:5c1805e6ac1ed4744cb02abb0184f26,605,Vikings Gaming
22999,oe:team:5c1d767e4c02111f0def3b6691b4851,606,Dynasty
23036,oe:team:5c5f0acb6a80770623c66e0d6b7a592,607,Avia Deceptor
23039,oe:team:5c99ca932b8499e126991aa8f90e67d,608,Gunrunners
23044,oe:team:5cd2cd09ec94296f605dd13a2924d6c,609,Nongshim RedForce
23196,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,610,OKSavingsBank BRION Challengers
23215,oe:team:5d09f3012c419e96c75321094d349ab,611,PRIMATE
23243,oe:team:5d6a39df3a740f807c9d4dc9f04bd81,612,Giants Gaming
23313,oe:team:5d81332d807fb5ebe9ca0e63fc7f375,613,Genius Esports
23337,oe:team:5dd1b9c2ee82eddc109ca9f7f345685,614,Infinity Esports Academy
23351,oe:team:5ddbbdc2f72c7dcc7e03be83301394c,615,Resolve Academy
23358,oe:team:5dea096f07a86312fd9dce9eee5acfa,616,Simplicity Esports
23361,oe:team:5e1b75330088d864dcd0c2cef261890,617,Taco Gaming
23389,oe:team:5e22ca5822229015c5a73cd17f43f92,618,Bogged
23396,oe:team:5e29baf115bdaaeeb3bafa7f288b298,619,Jin Air Green Wings
23674,oe:team:5e3055ed3b815352627fec92727dfe6,620,SEM9
23690,oe:team:5e8075398d5d69a85d1b25000437f17,621,COGnitive Gaming
23691,oe:team:5e86e312935ad545ee215e67adcee9c,622,GLORE
23733,oe:team:5e978e15b58c660c4f0db572e388fe3,623,Espergærde eSport
23738,oe:team:5e97f293e9986969e0abb397228dd6f,624,Royal Club
23971,oe:team:5e9b632a0a9d6901c33e980b637a50e,625,Hexagone Esports
23994,oe:team:5ecdc5d869196e2d21f1491520820e1,626,Fluxo Academy
24014,oe:team:5ef087125f8255546c01970122b3cec,627,Flamengo Esports
24133,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,628,Anorthosis Famagusta Esports
24285,oe:team:5f36249c69462031e423df16122dd0d,629,Team Imagine
24298,oe:team:5f401785b6b78326f9a46b3c6b206ed,630,LGD Gaming
24560,oe:team:5f51496531ff55ed2b01327a33b81c7,631,Prima-T
24561,oe:team:5f8017c71cc475ecf851aaf298b9359,632,OpTic Gaming
24592,oe:team:5fa7169f2a9ba7a17a9ce3afd59643d,633,KaBuM! Academy
24663,oe:team:5fae505234a3d1c41f885c3b7bc3876,634,Bangkok Titans
24682,oe:team:600b76b49b52ddab1ef5f9f9ca4a657,635,Team Spirit
24685,oe:team:6030b9c78163f43e8c7034bfccd4814,636,Full Spectrum
24702,oe:team:603bfbbe0865f904c221dfa62faa8d2,637,No Name
24703,oe:team:60411922d8062ecea0c728af9c876a0,638,Rebels Gaming
24741,oe:team:6042dfd171ec855f1069300f12a3077,639,SPGeSports
24744,oe:team:606c6ac695907af3823ee6405c58ff1,640,Weibo Gaming
24850,oe:team:607baf04091e515e195644cb08ec21c,641,beGenius ESC
24890,oe:team:608e3f723c2e599fda1b4237e8dea8f,642,Rogue Warriors Shark
25019,oe:team:60af568eab0264f92225ad6649bac88,643,Level Up esports
25040,oe:team:60b1f136230746a33c9f53f90d53a8b,644,Apex Gaming
25078,oe:team:60d6ebbd85798fb137a4c3f1cef0bb1,645,Kumiho Esports
25082,oe:team:60e5f1fdc57df40ba2ca71ecf3c3b52,646,Boca Juniors Gaming
25136,oe:team:60eaeafbf777168423c362bd8d3bb44,647,Cloud9 Eclipse
25141,oe:team:6100f2588a65a71921d4f8ee206d94e,648,LGD Gaming Young Team
25313,oe:team:611801d741d02f705ab3433a71ce43f,649,LOUD Academy
25380,oe:team:61450737f7b683db4da7b3e0bf0dced,650,paiN Gaming
25564,oe:team:61587debb28ffdd2de34cf953cd94d7,651,Team Genesis
25567,oe:team:616a6d6c884d5d8713ef0d73559da28,652,Teamless Revenge
25570,oe:team:61964511adf52f5329a7f3ab958910b,653,LDN UTD
25577,oe:team:61a209f7bce896c1374c5ca7be58497,654,SuperMassive Esports
25767,oe:team:61c8ded0aba830147de246ec1efdbb0,655,Reformed Gaming
25777,oe:team:6204b4f9d845639c01b5085892fd0e7,656,Estoril Praia eSports
25786,oe:team:622459d5680faa3d82144c4d49a0294,657,Leviathans
25787,oe:team:622a2f5dc9620cda6c9155119741546,658,Grow uP eSports
25802,oe:team:628a7f107a6aedc53fc6e74b22e6085,659,Merciless Gaming
25814,oe:team:62c159a40da42fbccda2555996c3946,660,Synthetic Esports
25818,oe:team:62c1cd9465dc63824593ee5046f5aa8,661,Team WE
26107,oe:team:631731910c3b71653b00f15d0d45ab0,662,OverPower Esports
26125,oe:team:63378aef5a4b205c1fcf71696736355,663,Chivas Esports
26138,oe:team:6347114f975f4949f9b43fd62f45301,664,OKGG White
26140,oe:team:6355abffc8fb5d3670268042d6384e9,665,KOVA Esports
26151,oe:team:636ad22c939bc97d743c271a0daa83e,666,RIFT Esports
26159,oe:team:6371a5f480097c75c5ba4ac5fe2cfad,667,No Name
26160,oe:team:637d0a65124780ff6ecca6ec06e67c2,668,İstanbul Wildcats Academy
26237,oe:team:638506106b833cf5649e0490244eed4,669,Legacy Genesis
26275,oe:team:63a32d4afe1be641dd23499aca68dc2,670,Gentle Hearts Gaming
26279,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,671,Furious Gaming
26497,oe:team:643c0d1b7e6efc039d437b21ea33c3b,672,Vexo eSports
26503,oe:team:644e00b2fc248d4befa4848e338b001,673,Cattleya Gaming
26505,oe:team:6468029fb605bd6fdf1cf866e890739,674,White Dragons
26604,oe:team:64a41d3f257e38f07d4bd8570809432,675,Miners
26614,oe:team:64b1b7f74d693cae5d71675ac09e58b,676,King of Goats
26621,oe:team:64b59b4a50cdf821d0c4d070b5ed2b2,677,LionsCreed Baltics
26624,oe:team:65140c73015d004b0456fb43ba373a4,678,WAP Esports
26687,oe:team:65381c751e78df337720522a7275412,679,ODIN Gaming
26712,oe:team:6549d1a5cc99d18e80b5c65ed0f81c8,680,Colors Esport
26717,oe:team:6567b6e67c534f15e044f3b430fef3e,681,HEET
26735,oe:team:6575d9a58f0b41a108f2d6a565a0650,682,ORDER
26892,oe:team:65838799d4f18b5f3cda973edca3e8b,683,5 Ronin Academy
26944,oe:team:658a021a796aa5501503220adb38cf4,684,LOUD
27032,oe:team:659132057bf3872268ec0676b57862b,685,VININE
27034,oe:team:65ef83f1c6a889cdc68ff12943c9f45,686,Team Queso
27079,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,687,Tomorrow Esports
27123,oe:team:661399cd57d6efe4a62201665c4ebc8,688,Victorious Gaming
27182,oe:team:66183b5685c9e0a01698642ff9bd420,689,Descuydado Aucas Esports
27194,oe:team:666515300647cde21ae9c59716a931a,690,17 Academy
27198,oe:team:66752993077183caa68074d77b81cf0,691,First Blood Crusade
27206,oe:team:6682645faf448187489b1b9fe877172,692,Just Toys Havoks
27237,oe:team:66951189b9e08c162667e26facca95e,693,All Combo
27343,oe:team:66e08436a077c287777406c045d7b27,694,Mineski
27352,oe:team:66eccb6faca7fd5e3cdf4ccf903385c,695,OKSavingsBank BRION
27377,oe:team:670864fcb76e8cbb5123ee8de639b08,696,Aethernum eSports
27387,oe:team:67140a291d66109643b99e9dff2cbc3,697,Rare Atom Period
27509,oe:team:67169969ecc058b307edfa9c6b7a3c0,698,RED Canids
27707,oe:team:6764a62b5bbe9cdcd8a8f97df16464a,699,Team Immunity
27711,oe:team:678f5605ae9ccd6ada221305d37f7f8,700,University of Toronto Scarborough
27719,oe:team:6795b2eb09949cd70e100ccd9f3f4a8,701,Wildcard Gaming Developmental
27745,oe:team:67a8a9e3f3b1b16e9c4dc0ac8aaa514,702,AGEM
27751,oe:team:67acf50fd9db87b9aec311bedf9bea3,703,BCN Squad
27783,oe:team:67d3ec1d2fa3c09c24d226fc7eb0046,704,Komodo
27785,oe:team:67e0f56bd57e2c81697e6936eb6fd66,705,CYRUS
27792,oe:team:67e83499cf1092d4b491ad0084fb867,706,Area of Effect Vice
